hyb_gga_xc_case21	15	390	FULL	1	param_ax,param_gammac,param_gammax,param_cx_0,param_cx_1,param_cx_2,param_cx_3,param_cx_4,param_cx_5,param_cx_6,param_cx_7,param_cx_8,param_cx_9,param_cc_0,param_cc_1,param_cc_2,param_cc_3,param_cc_4,param_cc_5,param_cc_6,param_cc_7,param_cc_8,param_cc_9
gga_x_s12	20	495	FULL	1	param_A,param_B,param_C,param_D,param_E,param_bx
gga_k_pearson	22	511	FULL	1	
gga_k_ol1	22	512	FULL	1	
gga_k_ol2	22	513	FULL	1	param_aa,param_bb,param_cc
gga_k_pw86	21	515	FULL	1	
gga_k_dk	19	516	FULL	1	param_aa_0,param_aa_1,param_aa_2,param_aa_3,param_aa_4,param_bb_0,param_bb_1,param_bb_2,param_bb_3,param_bb_4
gga_k_lc94	19	521	FULL	1	param_a,param_alpha,param_b,param_c,param_d,param_expo,param_f
gga_k_llp	21	522	FULL	1	param_beta,param_gamma
gga_k_thakkar	20	523	FULL	1	
gga_x_ityh	15	529	FULL	1	param_hyb_omega_0
gga_x_sfat	14	530	FULL	1	param_hyb_omega_0
gga_x_sg4	20	533	FULL	1	
gga_x_gg99	5g	535	FULL	1	
gga_x_pbepow	21	539	FULL	1	
gga_c_scan_e0	15	553	FULL	1	
gga_c_w94	21	561	FULL	1	
gga_c_cs1	18	565	FULL	1	
gga_k_exp4	22	597	FULL	1	
gga_x_sfat_pbe	14	601	FULL	1	param_hyb_omega_0
gga_x_fd_lb94	21	604	FULL	1	param_beta
gga_k_lkt	21	613	FULL	1	param_a
gga_k_mpbe	20	616	FULL	1	param_a,param_c1,param_c2,param_c3
gga_k_vt84f	17	619	FULL	1	param_alpha,param_mu
gga_k_lgap	21	620	FULL	1	param_kappa,param_mu_0,param_mu_1,param_mu_2
gga_x_ityh_optx	16	622	FULL	1	param_a,param_b,param_hyb_omega_0
gga_x_ityh_pbe	15	623	FULL	1	param_hyb_omega_0,param_kappa,param_mu
gga_c_lypr	16	624	FULL	1	param_a,param_b,param_c,param_d,param_m1,param_m2,param_omega
gga_k_lgap_ge	22	633	FULL	1	param_mu_0,param_mu_1,param_mu_2
hyb_gga_x_cam_s12	15	646	FULL	1	param_A,param_B,param_C,param_D,param_E,param_hyb_coeff_0,param_hyb_coeff_1,param_hyb_omega_0
gga_x_pbe_erf_gws	17	655	FULL	1	param_ax,param_b_PBE,param_hyb_omega_0,param_kappa
gga_x_q1d	19	734	FULL	1	
gga_x_herman	22	UNKNOWN	FULL	1	
